0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/85 HTTP/1.1" 200 26119
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/83 HTTP/1.1" 200 30289
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /lib/jquery-ui/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/87 HTTP/1.1" 200 7822
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/88 HTTP/1.1" 200 25391
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/67 HTTP/1.1" 200 23386
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/72 HTTP/1.1" 200 32266
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/71 HTTP/1.1" 200 55477
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/68 HTTP/1.1" 200 34735
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/73 HTTP/1.1" 200 33877
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/74 HTTP/1.1" 200 41210
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/75 HTTP/1.1" 200 26646
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/76 HTTP/1.1" 200 24560
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/77 HTTP/1.1" 200 26770
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/78 HTTP/1.1" 200 35468
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/66 HTTP/1.1" 200 10740
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/79 HTTP/1.1" 200 24144
0:0:0:0:0:0:0:1 - - [29/Apr/2021:00:54:09 +0200] "GET /livre/couverture/89 HTTP/1.1" 200 39902
